wordID	wordCS	word	lemma	Pos
816	Sir	sir	sir	nn1
817	choice	choice	choice	nn1
818	million	million	million	nno
819	nice	nice	nice	jj_rr@
820	high	high	high	jj
821	When	when	when	rrq
822	about	about	about	rpk
823	about	about	about	rg
824	known	known	know	vvn
825	20	20	20	mc
826	from	from	from	ii22_ii
827	enough	enough	enough	rr_dd
828	Hold	hold	hold	vv0
829	as	as	as	cs31
830	finally	finally	finally	rr
831	playing	playing	play	vvg
832	ahead	ahead	ahead	rl
833	mind	mind	mind	vvi
834	By	by	by	ii
835	much	much	much	rr
836	away	away	away	ii21_rl
837	leaving	leaving	leave	vvg
838	Sure	sure	sure	rr
839	buy	buy	buy	vvi
840	HE	he	he	pphs1
841	small	small	small	jj
842	How	how	how	rgq@
843	somewhere	somewhere	somewhere	rl
844	just	just	just	jj
845	Mm	mm	mm	uh
846	long	long	long	rr
847	piece	piece	piece	nn1
848	Never	never	never	rr
849	How	how	how	rrq_rgq@
850	that	that	that	rg
851	Keep	keep	keep	vv0
852	takes	takes	take	vvz
853	amazing	amazing	amazing	jj
854	giving	giving	give	vvg
855	Michael	michael	michael	np1
856	IT	it	it	pph1@_nn1
857	A	a	a	at1@
858	fault	fault	fault	nn1
859	speak	speak	speak	vvi
860	shall	shall	shall	vm
861	hurt	hurt	hurt	vvi
862	Bye	bye	bye	uh
863	like	like	like	ii_jj@
864	much	much	much	rr_da1
865	all	all	all	rr22
866	air	air	air	nn1
867	information	information	information	nn1
868	I	i	i	ppis1_zz1%
869	Her	her	her	appge
870	eye	eye	eye	nn1
871	if	if	if	cs22
872	MY	my	my	appge
873	far	far	far	rr
874	words	words	word	nn2
875	ship	ship	ship	nn1
876	First	first	first	md
877	ten	ten	ten	mc
878	killed	killed	kill	vvn
879	wrong	wrong	wrong	jj
880	mine	mine	mine	ppge
881	ready	ready	ready	jj_rr@
882	will	will	will	vm_vv0%
883	thinks	thinks	think	vvz
884	check	check	check	vvi
885	feet	feet	foot	nn2
886	From	from	from	ii
887	New	new	new	np1
888	pick	pick	pick	vvi
889	kidding	kidding	kid	vvg
890	Ca	ca	can	vm
891	People	people	people	nn
892	totally	totally	totally	rr
893	FOR	for	for	if
894	lose	lose	lose	vvi
895	security	security	security	nn1
896	;	;	;	;
897	using	using	use	vvg
898	all	all	all	rr@_db
899	down	down	down	rp_ii@
900	Whatever	whatever	whatever	ddqv
901	try	try	try	vv0
902	'M	'm	be	vbm
903	Someone	someone	someone	pn1
904	after	after	after	cs
905	No	no	--	#nn1
906	sometimes	sometimes	sometimes	rt
907	entire	entire	entire	jj
908	lucky	lucky	lucky	jj
909	god	god	god	nn1
910	lost	lost	lose	vvd
911	sounds	sounds	sound	vvz
912	George	george	george	np1
913	around	around	around	rp_ii
914	coffee	coffee	coffee	nn1
915	wedding	wedding	wedding	nn1
916	kind	kind	kind	rr21%
917	list	list	list	nn1
918	all	all	all	rr
919	while	while	while	nnt1@
920	Those	those	those	dd2
921	TO	to	to	ii
922	cause	cause	cause	nn1
923	leave	leave	leave	vv0
924	no	no	no	pn121
925	stay	stay	stay	vv0
926	picture	picture	picture	nn1
927	An	an	a	at1
928	ones	ones	one	nn2
929	I	i	i	mc1@_zz1@_ppis1
930	explain	explain	explain	vvi
931	sick	sick	sick	jj
932	That	that	that	cst
933	definitely	definitely	definitely	rr
934	Every	every	every	at1
935	brought	brought	bring	vvd
936	black	black	black	jj
937	history	history	history	nn1
938	As	as	as	csa
939	mistake	mistake	mistake	nn1
940	so	so	so	rr_cs@
941	calling	calling	call	vvg
942	off	off	off	ii
943	send	send	send	vvi
944	watching	watching	watch	vvg
945	second	second	second	nnt1
946	message	message	message	nn1
947	Doctor	doctor	doctor	nn1
948	Looks	looks	look	vvz
949	'RE	're	be	vbr
950	Ben	ben	ben	np1
951	All	all	all	db_rr@
952	her	her	her	ppho1_appge
953	killer	killer	killer	nn1
954	10	10	10	mc
955	David	david	david	np1
956	nobody	nobody	nobody	pn1
957	Can	can	can	vm
958	completely	completely	completely	rr
959	hold	hold	hold	vvi
960	crime	crime	crime	nn1
961	Mike	mike	mike	np1
962	i	i	i	mc1_zz1
963	trust	trust	trust	vvi
964	around	around	around	ii_rp
965	control	control	control	nn1
966	Charlie	charlie	charlie	np1
967	too	too	too	rr@_rg
968	just	just	just	rr_jj@
969	walk	walk	walk	vvi
970	law	law	law	nn1
971	personal	personal	personal	jj
972	given	given	give	vvn
973	street	street	street	nn1
974	easy	easy	easy	jj
975	watch	watch	watch	vvi
976	forget	forget	forget	vvi
977	bit	bit	bit	rr22
978	fun	fun	fun	jj_nn1
979	wearing	wearing	wear	vvg
980	Earth	earth	earth	nn1
981	pain	pain	pain	nn1
982	WAS	was	be	vbdz
983	here	here	here	rl22
984	road	road	road	nn1
985	Peter	peter	peter	np1
986	met	met	meet	vvd
987	victim	victim	victim	nn1
988	YOUR	your	your	appge
989	lives	lives	life	nn2
990	boss	boss	boss	nn1
991	right	right	right	nn1_rr
992	running	running	run	vvg
993	anywhere	anywhere	anywhere	rl
994	relationship	relationship	relationship	nn1
995	Nobody	nobody	nobody	pn1
996	box	box	box	nn1
997	figure	figure	figure	vvi
998	sit	sit	sit	vvi
999	table	table	table	nn1
1000	Joe	joe	joe	np1
1001	mad	mad	mad	jj
1002	court	court	court	nn1
1003	stand	stand	stand	vvi
1004	through	through	through	rp@
1005	promise	promise	promise	vv0
1006	feeling	feeling	feel	vvg
1007	space	space	space	nn1
1008	though	though	though	rr@
1009	[Sighs]	[sighs]	--	@1
1010	a	a	a	rr21_at1
1011	left	left	leave	vvn
1012	ran	ran	run	vvd
1013	ask	ask	ask	vv0
1014	work	work	work	vv0
1015	buddy	buddy	buddy	nn1
1016	terrible	terrible	terrible	jj
1017	BE	be	be	vbi
1018	Tom	tom	tom	np1
1019	Put	put	put	vv0
1020	music	music	music	nn1
1021	Jesus	jesus	jesus	np1
1022	brain	brain	brain	nn1
1023	needed	needed	need	vvd
1024	of	of	of	rr22_io
1025	class	class	class	nn1
